no2,co,so2,o3,pm10,pm25
1.41,0.0602,0.41,31.76,16.07,10.94
1.24,0.0671,0.61,29.58,17.65,11.87
1.7,0.0705,0.4,30.51,19.04,13.0
1.61,0.0709,0.35,31.39,15.27,10.61
1.4,0.0712,0.4,30.8,21.31,14.6
1.59,0.0725,0.36,31.26,19.16,13.44
1.02,0.0793,0.36,31.89,17.73,12.26
0.97,0.0808,0.4,32.35,20.66,14.24
0.93,0.0713,0.36,32.21,12.88,8.86
1.09,0.0716,0.36,31.31,17.19,11.62
1.03,0.0714,0.33,31.51,14.52,10.06
1.24,0.0762,0.34,32.63,19.31,13.56
1.26,0.0672,0.43,32.27,16.81,11.7
1.18,0.0679,0.36,29.65,22.27,14.67
1.24,0.0745,0.32,28.21,20.34,13.84
1.09,0.0661,0.27,28.19,16.02,11.01
1.14,0.0724,0.44,29.09,21.11,14.38
1.26,0.0719,0.46,30.06,14.02,9.72
1.29,0.0751,0.33,29.82,17.85,12.39
1.1,0.0755,0.23,29.85,27.18,18.92
1.22,0.0744,0.25,28.98,20.95,14.67
1.22,0.0722,0.34,29.06,14.28,10.03
1.3,0.0723,0.38,29.41,15.84,11.11
1.61,0.0701,0.43,30.65,19.63,13.61
1.3,0.0669,0.32,30.81,26.03,17.99
1.15,0.0652,0.22,30.44,25.55,17.54
1.11,0.0644,0.25,27.32,15.93,11.13
1.21,0.0612,0.32,25.07,12.31,8.59
1.44,0.0628,0.42,25.21,24.26,16.94
1.05,0.0657,0.29,25.68,29.24,20.41
1.38,0.063,0.24,26.43,16.19,11.4
1.51,0.0617,0.24,25.49,23.86,16.69
1.79,0.0571,0.23,25.48,19.46,13.73
1.67,0.0536,0.24,25.14,21.3,15.02
1.58,0.0595,0.49,26.13,23.78,16.61
1.74,0.06,0.36,27.14,17.85,12.56
1.52,0.0567,0.38,26.29,24.87,17.23
1.73,0.0609,0.56,26.32,19.9,13.73
1.42,0.0583,0.34,26.85,18.48,12.59
1.27,0.0548,0.29,27.14,21.7,14.64
1.29,0.0598,0.46,27.09,19.1,12.85
1.31,0.058,0.31,27.76,15.38,10.36
1.68,0.0558,0.24,27.66,21.41,14.81
1.48,0.0613,0.18,26.98,24.1,16.7
1.35,0.0602,0.14,27.05,21.93,15.18
1.89,0.0637,0.23,27.29,20.04,13.96
2.05,0.0719,0.3,27.12,19.19,13.4
1.71,0.0739,0.33,27.45,31.04,21.75
1.52,0.0696,0.21,27.41,20.92,14.71
1.72,0.0686,0.17,26.79,26.55,18.73
1.72,0.065,0.21,25.94,30.12,21.06
1.57,0.0606,0.26,26.61,30.06,20.93
1.88,0.0605,0.29,26.45,35.29,24.47
2.03,0.0573,0.3,26.25,38.2,26.33
1.66,0.0564,0.27,26.22,32.07,22.26
1.88,0.0562,0.21,26.37,32.71,22.72
1.75,0.055,0.2,27.02,22.48,15.76
2.11,0.0571,0.23,27.03,23.78,16.67
1.58,0.0586,0.18,27.25,23.63,16.53
1.96,0.0589,0.25,27.24,30.74,21.35
1.59,0.0577,0.32,27.61,18.73,13.14
1.69,0.0559,0.25,27.77,17.99,12.64
1.58,0.0586,0.23,27.53,18.66,13.06
1.61,0.0556,0.25,27.22,28.15,19.59
1.7,0.0562,0.2,27.35,20.26,14.13
1.54,0.055,0.19,27.19,16.06,11.21
1.86,0.0532,0.19,27.3,17.26,12.09
1.64,0.0521,0.17,26.64,16.84,11.79
1.51,0.0523,0.19,26.31,19.23,13.42
1.89,0.052,0.22,26.29,26.24,18.37
1.68,0.0511,0.21,26.35,18.57,13.06
1.18,0.0509,0.17,26.39,18.65,13.1
1.42,0.051,0.18,26.85,26.32,18.47
1.85,0.0503,0.21,26.74,28.74,19.94
1.81,0.0529,0.24,26.58,29.58,20.51
1.73,0.0549,0.18,26.3,23.6,16.46
1.31,0.0569,0.2,26.41,16.65,11.66
1.52,0.0556,0.16,26.45,18.1,12.73
2.0,0.0598,0.19,26.38,20.22,14.22
2.08,0.063,0.17,27.24,15.89,11.21
2.05,0.0629,0.19,27.37,20.63,14.56
2.39,0.0626,0.22,26.84,26.64,18.76
2.44,0.0596,0.26,27.04,32.42,22.64
1.82,0.062,0.24,26.76,16.48,11.63
1.65,0.0625,0.13,26.99,18.37,12.96
1.68,0.0649,0.21,28.38,19.63,13.81
2.04,0.065,0.22,28.42,27.2,19.34
1.84,0.0649,0.24,27.63,19.94,14.28
1.48,0.0606,0.19,27.47,20.95,14.8
1.67,0.0614,0.19,27.25,19.97,14.11
1.93,0.0676,0.26,27.6,24.35,17.17
2.23,0.0719,0.25,27.5,19.43,13.88
2.46,0.0674,0.25,27.46,25.78,18.34
2.15,0.0653,0.25,27.43,22.81,16.3
1.85,0.0616,0.25,27.11,28.77,20.68
1.75,0.0616,0.19,27.07,42.06,30.46
2.14,0.0626,0.23,27.41,25.71,18.83
1.83,0.0638,0.17,27.1,25.64,18.43
2.02,0.0667,0.19,27.05,21.69,15.66
1.96,0.0665,0.21,27.1,15.35,11.11
2.35,0.0697,0.24,27.31,24.4,17.42
2.06,0.0678,0.24,27.12,18.67,13.33
1.64,0.0676,0.23,26.57,20.57,14.68
1.78,0.0686,0.21,26.49,22.02,15.64
1.7,0.0623,0.2,26.37,19.17,13.43
1.73,0.0601,0.16,26.45,21.7,15.13
1.54,0.0641,0.14,26.62,21.57,14.87
1.71,0.0668,0.17,27.18,28.91,20.3
1.89,0.069,0.22,27.87,27.06,19.37
2.0,0.0723,0.21,28.0,27.32,19.82
1.99,0.0728,0.21,27.59,33.32,24.37
1.86,0.0694,0.31,26.8,34.07,24.86
2.12,0.0653,0.27,26.53,34.66,25.21
2.22,0.0663,0.28,26.58,35.68,25.82
1.88,0.068,0.26,26.87,27.53,20.17
2.06,0.0659,0.23,27.08,24.39,17.99
2.2,0.0634,0.22,27.55,24.98,18.13
2.49,0.0657,0.25,28.54,20.29,14.62
2.61,0.0686,0.31,28.44,24.97,17.91
2.3,0.0682,0.23,28.29,28.92,20.75
1.92,0.0648,0.2,28.02,32.85,23.61
1.96,0.0651,0.22,28.14,27.89,19.98
1.77,0.067,0.22,28.04,23.82,17.08
1.84,0.0664,0.21,27.8,23.14,16.43
1.56,0.0656,0.23,27.64,21.47,15.26
1.86,0.0667,0.21,27.6,19.54,13.86
1.89,0.0649,0.23,28.12,22.93,16.23
1.46,0.0655,0.23,28.32,21.88,15.56
1.23,0.0693,0.24,28.17,13.44,9.52
1.19,0.0688,0.27,27.78,9.89,7.0
1.44,0.0635,0.16,27.39,20.84,14.76
1.77,0.0667,0.21,27.57,15.76,11.19
1.8,0.075,0.43,27.66,15.76,11.16
1.46,0.0649,0.21,27.4,21.67,15.34
1.63,0.064,0.15,27.3,25.32,18.04
1.7,0.0652,0.17,27.48,26.22,18.92
1.6,0.0631,0.16,27.41,24.54,17.71
1.81,0.0652,0.17,27.04,29.24,20.88
1.76,0.0702,0.18,27.46,21.35,15.17
1.82,0.0708,0.16,27.6,16.29,11.58
1.99,0.0718,0.17,27.66,14.73,10.45
1.82,0.0704,0.21,27.52,17.96,12.73
1.74,0.0741,0.3,27.44,21.88,15.49
1.42,0.067,0.38,27.3,14.84,10.49
1.5,0.0686,0.26,26.94,25.62,18.07
1.46,0.0655,0.15,26.86,15.24,10.77
1.69,0.066,0.13,26.95,20.18,14.27
1.56,0.0699,0.13,26.91,27.38,19.51
1.36,0.0794,0.17,27.02,31.03,22.41
1.41,0.0852,0.23,27.77,28.82,21.14
1.5,0.0818,0.32,27.65,25.91,18.93
1.48,0.0745,0.35,28.11,30.42,22.06
1.74,0.0726,0.34,27.86,17.95,12.85
1.57,0.0723,0.2,27.53,29.76,21.07
1.71,0.0715,0.22,27.28,28.45,20.13
1.7,0.0732,0.32,27.25,16.9,11.95
1.72,0.0745,0.43,27.19,14.32,10.1
1.92,0.0683,0.27,27.3,16.77,11.81
1.79,0.0707,0.21,26.83,17.9,12.55
1.75,0.0668,0.15,27.16,21.44,15.04
1.77,0.0731,0.16,26.7,26.19,18.38
1.87,0.0806,0.18,26.84,28.47,20.37
2.29,0.0813,0.25,27.27,29.33,20.95
1.96,0.0803,0.23,27.45,27.08,19.24
1.53,0.0768,0.26,28.51,22.98,16.29
2.0,0.0703,0.39,28.01,29.24,20.73
1.89,0.0737,0.24,27.89,32.71,23.17
1.57,0.0693,0.32,28.03,24.77,17.47
1.43,0.0624,0.31,27.38,24.25,17.1
1.42,0.0608,0.18,27.01,23.25,16.32
1.43,0.0628,0.27,26.85,16.0,11.28
1.81,0.0686,0.43,27.01,20.93,14.75
1.93,0.0753,0.38,26.99,22.31,15.74
1.74,0.0727,0.53,28.08,21.17,14.92
2.1,0.0731,0.48,28.53,20.71,14.6
2.16,0.0697,0.4,28.75,18.91,13.31
2.11,0.0659,0.38,29.06,26.58,18.34
1.55,0.0655,0.43,27.88,20.7,14.22
1.16,0.0658,0.41,27.25,17.66,12.13
1.36,0.0639,0.43,26.91,26.26,18.07
1.8,0.0629,0.32,27.04,35.4,24.8
1.87,0.0665,0.26,27.3,22.83,16.04
1.6,0.0693,0.28,27.14,18.93,13.22
1.66,0.0694,0.31,27.23,22.61,15.67
1.56,0.0693,0.44,27.34,17.57,12.31
1.46,0.0628,0.25,27.48,24.89,17.31
1.63,0.0651,0.25,27.49,21.95,15.38
1.83,0.0672,0.35,27.43,19.86,13.91
1.63,0.0693,0.48,27.31,22.67,15.72
1.71,0.0931,0.42,30.02,23.39,16.29
1.54,0.0984,0.5,31.53,31.85,22.06
1.91,0.104,0.39,31.06,29.91,20.93
2.35,0.1011,0.42,30.63,28.84,20.36
2.23,0.0962,0.36,31.0,32.04,22.61
2.09,0.0868,0.19,31.12,18.62,13.2
1.6,0.082,0.31,27.34,21.7,15.51
1.67,0.0796,0.33,26.05,19.4,13.84
1.72,0.0799,0.39,27.63,24.25,16.98
1.83,0.0686,0.38,30.84,21.96,15.05
1.73,0.0622,0.36,29.42,25.46,17.19
1.48,0.0604,0.39,30.35,19.54,13.36
1.52,0.0617,0.44,30.19,21.31,14.63
1.68,0.0634,0.35,31.71,19.87,13.34
1.52,0.0622,0.31,32.13,19.97,13.21
1.92,0.0619,0.34,32.31,23.33,15.47
1.86,0.0642,0.33,33.9,24.9,16.57
1.52,0.0655,0.38,33.13,17.56,11.89
1.88,0.0656,0.34,32.89,22.18,15.19
1.98,0.0645,0.37,29.97,19.78,13.67
1.65,0.0644,0.37,28.05,16.87,11.77
1.72,0.0624,0.51,27.18,24.84,17.17
1.65,0.0647,0.4,28.01,18.5,12.88
1.84,0.0671,0.38,28.88,29.46,20.05
2.25,0.0714,0.34,35.26,21.3,14.53
1.88,0.0841,0.33,36.24,26.34,18.11
1.68,0.0796,0.25,38.98,17.91,12.52
2.06,0.0743,0.21,36.61,19.47,13.72
1.94,0.0738,0.21,37.61,22.11,15.54
1.87,0.0793,0.38,36.25,22.55,15.85
1.83,0.0808,0.45,34.76,25.84,18.14
2.03,0.0862,0.41,35.84,20.66,14.42
2.29,0.0863,0.36,41.86,32.41,21.81
2.08,0.0818,0.34,44.16,23.62,16.21
1.77,0.0731,0.36,40.07,16.11,11.19
2.12,0.0676,0.36,35.51,25.89,17.54
1.93,0.0707,0.33,37.81,18.26,12.6
1.63,0.0722,0.37,38.4,24.27,16.2
1.37,0.0696,0.36,36.88,21.54,14.09
2.0,0.0695,0.34,37.39,19.28,13.11
2.13,0.0712,0.4,36.26,24.01,16.36
1.81,0.0672,0.37,34.03,21.21,14.22
2.11,0.0681,0.32,36.32,23.47,15.51
1.76,0.0688,0.37,37.8,18.74,12.54
1.54,0.0707,0.32,38.77,20.68,13.42
1.93,0.0727,0.32,37.69,22.12,14.54
2.15,0.0728,0.34,36.97,23.88,15.83
1.95,0.0748,0.32,36.75,19.12,12.83
1.3,0.0737,0.32,37.78,21.57,14.31
1.76,0.0704,0.35,36.69,19.16,13.05
1.76,0.0704,0.35,36.45,22.15,14.63
1.82,0.0685,0.35,36.42,29.02,18.77
1.96,0.0698,0.32,36.38,22.9,14.87
2.19,0.0711,0.33,37.14,30.86,20.21
1.82,0.0741,0.38,38.56,23.0,15.33
1.96,0.0808,0.28,42.19,25.38,16.84
2.33,0.0714,0.32,42.64,35.55,24.31
1.6,0.0658,0.54,41.59,23.69,15.99
1.92,0.0685,0.31,37.86,22.06,15.05
2.16,0.0717,0.29,36.05,21.81,15.18
1.86,0.0725,0.43,34.87,27.06,18.62
1.91,0.0706,0.38,34.32,26.07,17.63
1.99,0.0754,0.43,33.51,27.43,18.67
1.99,0.0854,0.62,35.71,20.27,13.95
1.83,0.0777,0.32,35.3,22.62,15.7
1.88,0.071,0.2,34.67,17.41,12.17
1.41,0.068,0.32,32.3,17.27,11.7
1.73,0.0707,0.43,32.27,28.53,18.69
1.18,0.0724,0.35,34.58,18.19,11.76
1.22,0.0771,0.32,42.05,23.56,14.7
1.33,0.0774,0.3,41.22,21.32,13.4
1.45,0.0745,0.33,43.18,21.25,13.63
1.41,0.0782,0.35,44.0,21.46,13.49
1.24,0.0898,0.32,45.99,15.89,10.28
1.72,0.0842,0.32,43.28,18.56,12.49
1.57,0.0786,0.29,42.13,16.32,10.9
1.35,0.0764,0.29,42.22,19.87,12.68
1.53,0.0823,0.34,40.54,19.63,12.95
1.71,0.0791,0.31,40.9,25.05,16.45
1.6,0.081,0.37,39.94,23.73,15.66
1.59,0.0797,0.3,39.26,21.05,13.96
1.41,0.0804,0.26,41.41,26.14,16.75
1.19,0.0806,0.28,41.36,19.56,12.24
1.61,0.0752,0.3,39.78,23.65,15.35
1.38,0.0857,0.33,41.58,22.94,15.01
1.66,0.0845,0.27,40.91,26.9,17.94
1.33,0.0768,0.27,40.64,21.43,13.97
1.62,0.0874,0.26,39.14,20.7,14.09
2.03,0.0901,0.22,36.6,18.55,12.97
1.25,0.084,0.23,35.39,16.49,11.5
1.25,0.0739,0.19,32.07,21.85,15.15
1.47,0.0685,0.29,31.32,21.43,14.45
1.75,0.077,0.44,33.67,23.39,15.71
1.26,0.0773,0.26,39.01,12.93,8.76
0.91,0.0792,0.2,41.97,21.97,13.95
1.1,0.0831,0.23,41.24,22.51,14.46
1.32,0.0794,0.3,41.69,19.24,12.62
1.42,0.0822,0.29,40.77,25.73,17.02
1.33,0.0779,0.3,39.49,16.73,11.03
1.41,0.0762,0.28,39.94,27.08,17.79
1.42,0.0788,0.31,39.11,14.09,9.53
1.22,0.0788,0.31,39.2,21.01,13.5
1.22,0.0779,0.3,39.33,14.3,9.49
1.46,0.0809,0.3,38.82,16.41,10.88
2.01,0.082,0.31,40.09,23.12,15.28
1.79,0.079,0.32,39.22,21.61,14.41
2.16,0.0794,0.27,38.88,19.36,13.45
2.35,0.0762,0.3,37.9,17.48,12.29
1.94,0.0742,0.34,37.35,20.24,13.68
1.21,0.0742,0.27,39.23,18.77,12.13
1.22,0.072,0.32,38.14,18.22,11.91
1.89,0.0748,0.36,36.82,22.26,14.79
2.06,0.0745,0.37,37.24,17.16,11.83
1.6,0.0725,0.43,36.51,12.88,8.93
1.39,0.089,0.36,38.48,17.44,11.68
1.23,0.0885,0.31,40.1,14.89,9.85
1.47,0.0896,0.36,40.06,13.41,9.18
1.11,0.0867,0.29,38.68,18.17,11.58
0.97,0.0811,0.34,39.21,12.38,8.07
1.08,0.0777,0.35,39.64,18.38,11.77
1.85,0.0843,0.36,39.83,20.8,14.14
1.61,0.0906,0.29,38.68,21.02,14.45
1.21,0.0806,0.35,38.76,15.84,10.73
1.73,0.0801,0.37,38.76,21.23,14.59
1.83,0.0754,0.41,38.01,24.53,17.02
1.57,0.0725,0.47,39.47,24.19,17.08
1.83,0.0774,0.33,40.43,16.88,11.7
1.66,0.0733,0.29,39.12,23.45,15.46
0.95,0.0731,0.28,38.34,12.54,8.23
1.13,0.0727,0.26,38.17,13.56,9.19
1.12,0.0686,0.39,35.5,10.91,7.49
1.23,0.0718,0.28,35.24,16.05,10.53
0.95,0.0716,0.34,34.45,12.47,8.05
0.83,0.0739,0.29,35.14,15.3,9.61
1.06,0.0695,0.36,34.6,10.93,7.35
1.11,0.0673,0.38,34.31,21.03,13.93
1.02,0.0702,0.44,34.13,20.05,13.5
1.38,0.069,0.44,34.05,24.09,16.45
1.46,0.0711,0.33,33.84,22.65,15.48
1.46,0.0694,0.31,32.87,15.63,10.82
1.19,0.0753,0.3,34.68,18.84,12.44
0.92,0.0734,0.31,34.54,10.47,7.01
1.05,0.0714,0.27,34.88,12.42,8.24
1.07,0.0752,0.28,36.2,18.07,11.6
1.23,0.08,0.26,36.2,17.53,11.32
1.25,0.0742,0.24,34.06,15.69,10.34
1.33,0.0752,0.27,33.79,16.93,11.02
1.79,0.0777,0.32,33.48,13.14,9.19
2.25,0.077,0.36,31.5,17.0,12.05
1.77,0.0795,0.34,32.06,18.77,13.17
1.53,0.0958,0.28,35.89,19.92,13.89
1.41,0.0863,0.38,39.71,26.09,18.32
2.47,0.0899,0.43,39.43,32.04,22.81
1.71,0.0793,0.33,34.47,16.89,11.63
1.02,0.0703,0.35,35.27,18.43,11.8
1.45,0.0706,0.36,35.26,23.46,15.64
1.36,0.0708,0.42,33.28,16.98,11.66
1.61,0.0721,0.41,33.82,15.46,10.76
1.43,0.075,0.3,34.78,15.48,10.65
1.12,0.07,0.33,32.72,19.48,12.88
1.16,0.0736,0.31,32.97,17.55,11.8
1.26,0.0717,0.33,32.54,18.27,12.47
1.29,0.0737,0.29,34.43,19.18,13.05
1.55,0.0743,0.33,34.16,18.32,12.7
1.38,0.0795,0.37,35.83,18.78,12.74
1.59,0.0702,0.34,36.98,18.41,12.52
1.43,0.0665,0.32,31.1,19.27,12.93
1.21,0.0645,0.36,30.11,13.54,9.24
1.34,0.0632,0.25,28.35,20.67,13.93
1.59,0.0627,0.25,28.0,22.35,15.28
1.81,0.0698,0.32,29.08,16.51,11.45
1.98,0.0726,0.34,30.16,23.07,16.0
1.93,0.0718,0.29,29.29,21.42,15.03
1.87,0.0689,0.37,30.95,18.19,12.79
1.74,0.0683,0.46,31.77,18.1,12.66
1.5,0.0677,0.37,31.31,22.64,15.69
1.49,0.0639,0.31,30.7,16.31,11.41
1.41,0.0712,0.35,32.2,15.71,11.06
0.93,0.0723,0.3,31.85,17.24,11.55
0.75,0.0694,0.33,32.75,15.09,9.94
0.97,0.0671,0.32,34.08,15.0,9.91
1.02,0.069,0.29,33.21,14.49,9.6
0.86,0.0698,0.3,32.81,17.79,11.55
0.88,0.0708,0.31,34.55,17.75,11.65
1.06,0.0688,0.32,35.64,17.9,11.95
1.0,0.0695,0.29,35.75,20.17,13.27
0.95,0.074,0.4,31.44,18.8,12.73
0.85,0.0715,0.29,29.15,15.07,10.3
0.74,0.0703,0.34,30.16,14.46,9.95
0.84,0.068,0.24,30.49,20.64,14.29
1.08,0.0661,0.26,30.42,14.81,10.36
1.31,0.0704,0.35,30.21,19.57,13.8
1.22,0.0717,0.36,30.07,22.36,15.81
1.41,0.0731,0.23,30.24,20.88,14.85
1.43,0.073,0.29,29.91,22.59,16.03
1.12,0.0738,0.28,30.71,23.17,16.36
1.06,0.075,0.27,29.92,29.03,20.51
1.29,0.0825,0.4,29.18,19.77,13.95
1.13,0.0844,0.61,29.0,23.46,16.51
1.0,0.0774,0.74,28.52,31.32,22.07
1.16,0.0759,0.4,27.78,19.69,13.86
1.01,0.0675,0.21,27.33,11.27,7.96
1.35,0.0639,0.29,27.26,24.15,17.0
1.34,0.0658,0.32,27.21,22.15,15.6
1.04,0.0646,0.25,27.75,25.2,17.77
1.26,0.0742,0.29,28.74,31.11,21.96
1.44,0.0692,0.28,28.14,26.02,18.36
1.3,0.0692,0.22,28.04,15.17,10.71
1.01,0.0743,0.29,28.03,14.94,10.55
1.33,0.0784,0.38,28.14,22.18,15.65
1.38,0.0744,0.33,27.94,23.07,16.29
1.24,0.0684,0.28,27.55,24.49,17.33
1.54,0.066,0.23,27.65,33.07,23.46
1.58,0.0609,0.22,26.9,27.42,19.5
1.54,0.0592,0.35,27.88,24.95,17.72
1.61,0.061,0.32,28.71,22.2,15.58
1.88,0.0623,0.34,29.98,19.09,13.43
1.53,0.0599,0.25,29.69,23.46,16.17
1.42,0.0584,0.24,29.54,22.57,15.41
1.47,0.0583,0.29,28.59,23.01,15.37
1.18,0.0553,0.24,27.64,24.57,16.23
1.47,0.0573,0.35,27.61,23.76,15.98
1.5,0.0612,0.41,27.62,18.4,12.45
1.16,0.0614,0.46,28.03,22.21,14.93
1.22,0.058,0.21,29.49,10.93,7.49
1.47,0.0591,0.27,29.99,19.51,13.17
1.33,0.0607,0.27,28.75,20.26,13.68
1.4,0.0577,0.2,28.37,21.12,14.54
1.46,0.0563,0.23,28.33,26.41,18.33
1.62,0.0564,0.25,28.7,22.07,15.4
1.41,0.0551,0.26,28.29,25.66,17.9
1.3,0.0525,0.18,28.86,17.07,11.92
1.47,0.0537,0.21,28.83,29.3,20.3
1.62,0.0586,0.24,28.45,12.53,8.83
1.3,0.0576,0.18,28.19,16.05,11.24
1.1,0.0604,0.22,27.8,10.82,7.59
1.37,0.0561,0.23,27.83,18.05,12.56
1.14,0.0586,0.32,28.29,17.07,11.9
1.42,0.0573,0.2,29.32,23.1,16.13
1.23,0.058,0.18,29.44,20.88,14.59
1.46,0.0606,0.2,29.21,22.44,15.71
1.8,0.0617,0.21,29.81,24.22,17.0
1.93,0.0662,0.25,29.97,36.26,25.49
1.72,0.0668,0.2,29.47,21.02,14.89
1.72,0.0699,0.23,29.22,24.81,17.53
1.91,0.0643,0.22,29.1,21.48,15.2
1.64,0.066,0.23,28.94,32.73,22.99
1.52,0.0617,0.22,29.02,21.91,15.32
1.37,0.0583,0.2,29.03,22.57,15.61
1.27,0.056,0.26,28.76,22.6,15.54
1.17,0.0603,0.24,28.69,26.26,18.15
1.42,0.059,0.36,29.18,16.06,11.21
1.27,0.058,0.27,29.23,12.85,8.92
1.67,0.0576,0.18,29.91,25.04,17.22
1.89,0.0582,0.18,29.98,22.18,15.56
1.5,0.0541,0.27,30.59,16.88,11.6
1.54,0.0562,0.24,31.22,23.15,15.73
1.46,0.0549,0.2,29.99,26.2,17.92
1.27,0.0579,0.2,29.53,19.6,13.58
1.38,0.057,0.22,29.23,15.04,10.54
1.69,0.0565,0.28,29.36,21.64,15.2
1.31,0.0604,0.17,28.97,21.04,14.65
1.26,0.0619,0.18,28.82,14.39,9.95
