no2,co,so2,o3,pm10,pm25
1.16,0.0632,0.18,34.74,23.37,16.17
1.11,0.0614,0.3,33.38,12.71,8.86
1.54,0.0594,0.44,32.19,18.35,12.89
1.75,0.06,0.5,30.11,14.05,9.86
1.11,0.0588,0.22,28.95,19.36,13.52
1.35,0.0583,0.28,26.98,21.7,15.13
1.45,0.0583,0.2,26.18,24.97,17.53
1.33,0.0584,0.21,27.02,12.99,9.08
1.34,0.0625,0.28,28.29,13.69,9.52
1.2,0.0638,0.32,28.72,18.82,12.73
1.4,0.0635,0.26,31.92,18.93,12.62
1.47,0.0646,0.33,33.63,16.13,10.82
1.56,0.0678,0.35,32.68,23.35,15.69
1.58,0.0671,0.34,31.86,21.33,14.52
1.62,0.0713,0.38,31.88,26.61,18.12
1.5,0.0692,0.38,31.77,22.84,15.5
1.09,0.0695,0.35,31.95,17.13,11.73
1.29,0.0656,0.43,32.26,19.16,13.36
1.31,0.0663,0.21,31.91,19.72,13.84
1.54,0.0669,0.16,31.81,21.86,15.5
1.41,0.0661,0.17,30.79,22.82,16.16
1.75,0.0673,0.16,28.59,19.13,13.65
1.74,0.0682,0.16,28.03,24.64,17.64
1.7,0.0699,0.19,28.23,18.86,13.49
1.68,0.0695,0.17,27.97,20.84,14.87
1.73,0.0742,0.19,27.82,20.28,14.49
1.89,0.0765,0.21,26.29,29.65,21.12
1.8,0.0747,0.22,25.82,29.65,20.92
1.78,0.066,0.42,25.31,22.61,15.7
1.63,0.0654,0.46,25.44,22.02,15.3
1.79,0.0644,0.52,25.57,31.51,21.98
1.89,0.0632,0.79,25.56,27.15,19.27
1.51,0.0699,0.49,25.37,27.16,19.36
1.88,0.0679,0.27,25.24,25.88,18.7
1.72,0.0634,1.07,25.49,30.02,21.59
2.08,0.0692,1.43,26.77,34.09,24.63
1.38,0.0744,0.78,28.38,38.36,27.91
1.1,0.0693,0.28,28.17,40.29,29.73
1.26,0.0598,0.4,27.36,20.32,14.79
0.98,0.0668,0.38,26.77,22.94,16.65
1.02,0.0673,0.97,27.18,24.19,17.48
1.19,0.0643,1.13,27.75,15.88,11.38
1.08,0.0615,1.68,27.84,16.94,12.07
1.18,0.0632,0.3,28.66,13.19,9.37
1.57,0.0632,0.14,29.64,30.68,21.79
1.48,0.0671,0.15,28.8,31.29,22.19
1.32,0.0681,0.16,27.54,21.07,14.79
1.43,0.054,0.4,26.9,26.9,18.5
1.53,0.0549,0.28,26.68,19.9,13.82
1.49,0.0553,0.19,27.69,30.24,20.77
1.24,0.0536,0.2,29.31,14.02,9.82
1.3,0.055,0.25,31.03,18.77,13.03
1.49,0.057,0.29,31.39,25.49,17.5
1.19,0.0561,0.2,31.86,18.01,12.31
1.27,0.0525,0.27,30.03,14.1,9.66
1.35,0.0576,0.43,29.77,16.2,11.02
1.4,0.0575,0.26,29.93,17.97,12.42
1.78,0.0553,0.21,29.04,16.25,11.35
1.29,0.0556,0.25,29.49,16.6,11.32
1.3,0.0592,0.33,29.1,14.01,9.65
1.29,0.061,0.41,28.86,19.37,13.05
1.62,0.0594,0.33,28.37,19.51,13.56
1.45,0.0614,0.41,27.93,19.31,13.31
1.64,0.0646,0.39,27.94,15.57,10.82
1.51,0.0571,0.23,27.9,17.49,12.26
1.48,0.0551,0.18,28.38,19.08,13.43
1.38,0.0587,0.27,28.04,15.27,10.6
1.25,0.0571,0.26,27.25,19.23,13.2
1.15,0.0578,0.25,26.88,22.63,15.77
1.21,0.0612,0.2,26.53,14.83,10.4
1.34,0.063,0.2,26.23,18.42,12.85
1.43,0.0598,0.41,26.58,18.16,12.74
1.56,0.0612,0.31,27.27,17.13,12.04
1.48,0.0583,0.24,27.1,20.88,14.6
1.33,0.0569,0.28,26.91,17.23,12.05
1.35,0.0572,0.57,26.95,15.09,10.56
1.24,0.0598,0.19,26.94,16.64,11.64
1.44,0.0623,0.16,27.05,22.41,15.77
1.48,0.0653,0.16,26.52,25.51,17.88
1.5,0.0718,0.18,26.66,21.02,14.72
1.65,0.0723,0.17,27.12,23.67,16.82
1.69,0.081,0.16,27.27,21.37,15.09
1.59,0.0765,0.14,26.74,19.98,14.08
1.31,0.0749,0.17,27.01,28.04,19.27
1.64,0.0717,0.21,26.61,26.66,18.52
1.58,0.0672,0.41,26.43,16.65,11.68
1.31,0.0678,0.32,26.43,18.08,12.59
1.53,0.0664,0.2,26.68,12.53,8.85
1.56,0.0641,0.21,26.88,17.1,12.09
1.49,0.0659,0.26,26.85,11.28,7.96
1.51,0.073,0.22,26.86,23.36,16.44
1.43,0.0746,0.14,26.71,27.28,19.21
1.51,0.0818,0.13,26.57,16.96,12.01
1.51,0.0769,0.14,26.21,17.29,12.19
1.48,0.0705,0.18,26.19,24.95,17.45
1.44,0.0762,0.24,26.68,26.18,18.57
1.63,0.0959,0.22,26.93,20.61,14.74
1.81,0.1023,0.19,26.92,21.62,15.31
1.92,0.0853,0.24,26.67,26.48,18.53
1.64,0.0663,0.4,27.02,23.12,16.14
1.27,0.0583,0.46,26.64,20.02,13.96
1.26,0.0561,0.53,26.77,21.68,15.1
1.19,0.0563,0.96,26.99,23.86,16.62
1.1,0.0568,1.24,26.84,26.7,18.59
1.02,0.0563,0.49,26.9,21.71,15.1
1.32,0.0569,0.29,26.94,19.25,13.42
1.41,0.0574,1.32,27.01,17.13,12.01
1.39,0.0584,0.78,27.0,22.6,15.78
1.47,0.0573,0.58,26.92,25.85,17.9
1.33,0.0578,0.39,26.75,27.56,18.9
1.27,0.0563,0.43,26.4,17.7,12.31
1.34,0.0638,0.25,26.59,18.33,12.82
1.38,0.0827,0.33,26.4,15.23,10.73
1.46,0.0635,0.47,26.12,19.87,13.96
1.28,0.0594,0.29,26.18,16.79,11.82
1.42,0.0611,0.18,26.23,25.38,17.73
1.21,0.0661,0.2,26.21,16.6,11.48
1.37,0.0666,0.19,26.25,11.32,7.93
1.4,0.06,0.17,26.17,18.52,12.94
1.39,0.0659,0.13,25.82,14.82,10.42
1.46,0.066,0.29,26.11,19.77,13.71
1.58,0.0611,0.62,26.28,15.22,10.72
1.6,0.0667,0.5,26.49,20.79,14.59
1.49,0.0697,0.16,27.33,21.73,15.28
1.8,0.0842,0.15,27.09,19.82,14.0
1.76,0.0831,0.33,27.09,20.14,14.22
1.49,0.0608,2.91,26.96,21.25,14.99
1.19,0.0657,0.71,26.58,19.09,13.45
1.84,0.0845,0.12,26.5,14.42,10.25
1.78,0.0898,0.12,26.99,31.84,22.67
1.58,0.0816,0.14,26.91,45.32,32.52
1.76,0.0826,0.22,26.53,41.4,29.91
1.55,0.0796,0.28,27.18,22.08,15.81
1.6,0.0741,0.35,27.2,17.06,12.15
1.67,0.0746,0.27,27.06,23.75,16.9
1.56,0.075,0.21,27.16,18.9,13.45
1.21,0.0683,0.47,26.98,14.01,9.93
1.41,0.1116,0.23,26.75,19.06,13.5
1.57,0.0921,0.44,26.55,25.54,18.08
1.74,0.0838,0.24,26.21,21.08,14.91
1.9,0.0783,0.15,26.09,21.59,15.24
1.69,0.0797,0.17,25.91,15.32,10.86
1.97,0.0848,0.2,26.13,36.68,25.92
1.75,0.0828,0.18,26.89,18.12,12.86
1.79,0.0762,0.15,27.02,15.38,10.92
1.71,0.0813,0.15,26.57,18.01,12.77
1.67,0.0894,0.14,26.39,13.21,9.37
1.26,0.0891,0.17,26.37,17.94,12.66
1.61,0.084,0.14,26.54,22.42,15.84
2.09,0.0893,0.13,26.98,32.46,22.92
1.92,0.0843,0.12,27.04,34.92,24.65
1.88,0.0856,0.13,26.84,24.27,17.14
1.96,0.0828,0.14,26.24,24.65,17.34
1.79,0.0823,0.14,25.83,14.38,10.19
1.88,0.0815,0.16,25.87,17.13,12.14
1.54,0.0822,0.27,25.76,18.03,12.72
1.29,0.0751,0.24,25.13,16.93,11.96
1.72,0.0679,1.43,25.38,16.37,11.61
1.69,0.0648,1.31,25.93,22.85,16.22
2.05,0.0607,0.2,25.66,31.16,22.17
1.67,0.0608,0.27,25.91,20.96,14.9
1.39,0.0619,0.36,25.45,24.07,16.98
1.69,0.0582,0.24,25.57,18.36,12.77
1.45,0.0609,0.4,25.56,27.34,19.02
1.5,0.0603,0.23,25.92,22.52,15.81
1.5,0.0634,0.17,25.96,21.95,15.47
1.5,0.0711,0.3,25.83,17.89,12.59
1.4,0.0672,0.28,25.7,18.13,12.68
1.6,0.0676,0.14,25.44,13.33,9.44
1.64,0.0692,0.13,26.65,20.38,14.39
1.61,0.0714,0.12,26.75,24.99,17.6
1.51,0.0805,0.11,26.37,20.14,14.32
1.39,0.0768,0.13,26.27,20.23,14.28
1.64,0.0911,0.12,27.2,22.35,15.8
1.86,0.0886,0.13,27.11,32.64,23.08
1.84,0.0855,0.14,26.61,31.57,22.43
1.7,0.0896,0.12,26.12,28.42,20.2
1.44,0.0875,0.13,26.12,25.68,18.26
1.31,0.087,0.18,26.19,20.41,14.38
1.82,0.0795,0.21,26.56,19.35,13.71
1.58,0.084,0.53,28.58,19.59,13.86
1.23,0.0816,0.47,30.35,24.53,17.16
1.46,0.0836,0.36,30.48,31.31,21.93
1.71,0.085,0.33,29.9,27.29,19.2
2.05,0.0842,0.23,28.25,19.49,13.76
1.89,0.0754,0.25,27.2,24.02,16.96
1.69,0.0675,0.34,27.03,24.54,17.31
1.79,0.0664,0.4,27.06,25.76,18.15
1.66,0.0704,0.3,27.23,24.68,17.19
1.66,0.0704,0.21,28.02,17.05,11.97
1.46,0.0642,0.42,28.07,18.51,12.92
1.87,0.0622,0.4,27.86,24.96,17.49
1.54,0.0617,0.42,27.35,28.49,19.67
1.57,0.067,0.43,27.28,19.88,13.77
1.48,0.0677,0.29,28.13,21.33,14.88
1.63,0.0691,0.47,29.33,19.88,13.91
1.73,0.0729,0.37,30.24,20.54,14.16
2.13,0.0738,0.27,31.07,20.98,14.4
1.82,0.0763,0.19,29.99,19.36,13.57
2.03,0.0691,0.21,29.09,30.19,21.15
2.34,0.068,0.39,28.6,20.1,14.12
0.96,0.0707,0.43,28.47,8.18,5.76
1.67,0.0653,0.29,31.03,23.03,15.93
2.1,0.0709,0.29,30.71,30.73,21.47
1.94,0.0729,0.2,30.39,27.67,19.45
1.72,0.0687,0.25,30.08,23.23,16.33
2.48,0.0663,0.32,30.85,38.44,27.05
2.29,0.0677,0.4,30.71,33.06,23.2
1.97,0.0706,0.37,32.07,41.36,28.5
1.94,0.0694,0.33,30.84,33.35,23.35
1.92,0.0712,0.38,30.79,22.94,15.84
1.92,0.0796,0.35,31.57,27.76,19.11
2.11,0.0833,0.4,32.92,40.64,28.09
2.26,0.085,0.53,33.61,40.61,28.1
2.17,0.0867,0.58,32.91,32.17,22.37
1.84,0.0893,0.35,32.84,38.09,25.84
1.92,0.0913,0.33,34.52,42.91,29.57
1.86,0.094,0.32,35.33,30.88,21.55
1.83,0.0904,0.3,34.53,25.34,17.79
1.78,0.0842,0.34,33.6,28.45,19.79
1.51,0.0754,0.3,32.48,23.96,16.34
1.51,0.0655,0.35,31.14,19.63,13.38
1.3,0.0639,0.29,31.61,26.64,16.95
1.21,0.0626,0.3,31.97,20.05,12.95
1.04,0.0665,0.34,32.09,17.48,11.18
1.49,0.0626,0.25,32.32,22.04,14.63
1.82,0.0587,0.24,30.25,21.8,14.82
1.75,0.0624,0.38,30.82,22.96,15.62
1.78,0.0689,0.32,32.0,26.22,17.88
1.55,0.0673,0.17,32.9,19.12,13.15
1.68,0.0671,0.2,33.09,19.08,13.17
1.6,0.0646,0.32,34.94,20.41,13.74
1.58,0.066,0.34,33.88,17.25,11.63
1.77,0.0768,0.29,34.21,22.77,15.59
1.14,0.0769,0.27,34.07,18.97,12.12
1.19,0.0835,0.27,35.16,23.48,14.95
1.2,0.084,0.27,34.8,22.37,14.19
1.31,0.0806,0.26,35.46,27.33,17.47
1.67,0.082,0.29,35.64,25.17,16.78
1.77,0.0806,0.3,35.24,27.42,18.48
1.97,0.0828,0.3,34.55,37.87,26.17
2.09,0.0894,0.37,33.69,20.01,14.15
1.85,0.0796,0.32,31.21,19.98,14.09
1.44,0.0759,0.38,32.52,21.78,15.0
1.31,0.069,0.37,32.21,13.94,9.53
1.52,0.0828,0.36,32.24,17.62,11.86
1.12,0.0802,0.3,33.48,18.79,12.23
1.41,0.0749,0.29,33.99,17.27,11.5
1.58,0.0757,0.31,34.42,20.73,13.91
1.27,0.0769,0.31,34.43,18.61,12.46
1.56,0.0767,0.38,34.07,17.72,12.14
1.69,0.0768,0.34,33.0,18.43,12.74
1.53,0.0783,0.32,33.58,24.88,16.56
1.42,0.0868,0.32,34.16,21.61,14.5
1.24,0.0937,0.29,36.04,18.77,12.68
1.49,0.0916,0.3,34.25,22.21,14.89
1.24,0.0908,0.31,33.87,20.19,13.46
1.71,0.0927,0.28,35.26,22.34,15.29
1.72,0.0859,0.27,34.25,20.12,13.92
1.45,0.0819,0.31,34.11,22.48,15.45
1.48,0.0815,0.31,36.12,15.65,10.9
2.23,0.0829,0.37,34.84,32.01,22.33
2.21,0.0804,0.28,33.66,33.14,23.14
1.97,0.075,0.28,32.93,25.68,17.69
2.09,0.0741,0.29,33.56,29.03,19.83
1.95,0.0745,0.34,34.59,28.06,19.21
1.44,0.0688,0.33,34.3,23.37,15.99
1.47,0.0632,0.27,33.25,18.4,12.63
1.52,0.0638,0.31,32.59,19.42,13.34
1.34,0.0682,0.31,32.08,18.94,12.73
1.39,0.0704,0.33,31.02,17.96,12.1
1.11,0.0696,0.32,31.56,18.47,12.15
1.51,0.0692,0.31,32.47,16.01,10.89
1.1,0.0792,0.29,32.65,15.9,10.63
1.44,0.0782,0.31,33.92,20.34,13.62
1.79,0.0833,0.32,35.19,18.35,12.55
1.5,0.081,0.29,33.7,14.83,10.15
1.37,0.0741,0.31,33.58,25.86,17.03
1.5,0.0767,0.34,33.51,19.18,12.74
1.72,0.0787,0.27,33.61,19.59,13.3
1.66,0.0739,0.27,33.67,27.66,18.49
1.55,0.0825,0.28,33.92,22.43,14.92
1.36,0.0812,0.33,34.6,20.78,13.57
0.96,0.0792,0.36,33.35,18.07,11.71
1.1,0.0829,0.31,32.46,24.63,16.08
1.05,0.0906,0.33,33.12,17.27,11.28
1.01,0.0906,0.32,33.15,15.91,10.38
1.16,0.0958,0.28,32.88,19.49,12.62
1.43,0.0904,0.23,32.93,21.22,14.14
1.45,0.1005,0.22,33.67,16.17,10.83
1.61,0.0987,0.26,35.27,21.83,14.27
1.46,0.0894,0.27,37.11,26.83,17.61
1.6,0.087,0.27,37.08,27.09,18.03
1.97,0.0882,0.25,35.68,39.6,26.99
1.83,0.09,0.27,34.94,30.19,20.73
2.29,0.0883,0.31,34.69,41.83,29.37
2.61,0.0873,0.4,34.01,42.76,30.34
1.66,0.0768,0.36,35.62,25.55,17.44
1.39,0.0762,0.27,34.08,15.41,10.59
1.56,0.082,0.36,33.52,15.95,11.06
1.81,0.0701,0.24,32.67,25.83,18.05
1.6,0.0643,0.24,31.64,19.79,13.92
1.55,0.0664,0.4,30.98,20.02,13.98
1.14,0.0663,0.36,30.84,20.66,14.02
1.66,0.0705,0.3,30.86,16.19,11.28
1.83,0.0717,0.29,32.42,22.66,15.48
1.6,0.0698,0.33,32.95,18.42,12.65
1.74,0.0702,0.34,33.09,20.13,14.06
1.77,0.0699,0.32,33.2,26.41,18.16
1.96,0.0705,0.32,32.66,32.87,22.66
2.28,0.0691,0.29,32.71,36.05,25.01
1.87,0.0684,0.29,32.27,22.41,15.33
1.53,0.0703,0.29,32.56,23.57,15.55
0.95,0.0767,0.28,32.73,23.58,14.76
1.14,0.084,0.29,32.99,23.1,14.66
1.16,0.0915,0.28,37.34,15.9,10.58
1.3,0.0915,0.29,38.21,17.1,11.4
1.72,0.0834,0.33,34.55,22.23,14.92
2.48,0.0782,0.29,34.65,41.49,28.77
2.79,0.0744,0.35,33.85,55.4,38.94
2.03,0.0722,0.3,34.8,30.42,20.72
1.97,0.0726,0.28,34.97,31.46,21.01
1.89,0.0724,0.26,34.81,29.48,19.67
1.59,0.0711,0.24,34.98,21.89,14.61
1.84,0.0779,0.21,34.79,25.63,17.52
1.88,0.077,0.15,32.5,27.83,19.3
1.58,0.0815,0.18,32.37,13.01,9.16
1.56,0.0905,0.2,31.19,24.46,17.13
1.19,0.0947,0.25,30.34,14.44,10.15
1.35,0.0899,0.33,29.96,22.23,15.59
1.25,0.0836,0.23,30.23,21.19,14.86
1.85,0.0863,0.38,30.81,20.62,14.51
1.53,0.0858,0.39,31.0,19.58,13.73
1.48,0.0809,0.31,30.31,21.13,14.84
1.71,0.0808,0.37,30.92,16.99,11.95
1.86,0.0788,0.31,32.02,20.52,14.52
2.69,0.072,0.35,33.06,38.18,27.38
2.11,0.0696,0.31,35.05,44.17,31.75
2.06,0.069,0.36,37.54,21.62,15.26
2.1,0.0675,0.37,35.66,23.44,16.59
1.9,0.0674,0.31,33.76,30.71,21.62
2.11,0.0669,0.34,32.13,37.05,26.11
2.17,0.0679,0.37,31.77,34.61,24.66
1.76,0.0706,0.44,31.55,31.39,22.28
2.01,0.0727,0.34,32.42,41.3,29.22
2.15,0.0759,0.33,33.27,34.32,24.12
1.84,0.0862,0.32,33.98,29.91,21.03
2.08,0.0933,0.36,34.38,29.73,20.96
1.88,0.1035,0.34,36.08,29.48,20.89
1.9,0.1073,0.38,36.02,22.42,15.9
1.64,0.1104,0.54,35.01,26.89,19.15
1.32,0.1112,0.67,33.53,29.97,21.42
1.46,0.1025,0.22,32.37,38.76,27.67
1.23,0.0981,0.2,31.76,34.4,24.57
1.06,0.0948,0.19,31.89,29.14,20.68
0.97,0.0872,0.29,32.65,22.62,16.07
1.34,0.083,0.31,32.25,17.31,12.33
1.68,0.0814,0.35,32.48,22.53,16.03
1.85,0.0766,0.36,33.78,31.08,21.7
1.84,0.0724,0.32,36.16,30.53,21.05
1.52,0.0691,0.31,39.4,29.43,20.24
1.04,0.0709,0.32,35.74,14.71,9.95
1.32,0.0688,0.31,31.58,19.55,13.26
1.18,0.065,0.29,30.44,14.5,9.86
1.45,0.0684,0.4,30.2,22.96,15.51
1.6,0.0683,0.33,31.51,18.74,12.82
1.08,0.0637,0.26,30.32,14.76,9.99
1.15,0.0659,0.27,31.27,21.56,14.69
1.26,0.0696,0.28,31.09,19.02,12.9
1.48,0.0699,0.3,31.91,20.75,14.08
1.23,0.0698,0.33,33.01,16.92,11.43
1.33,0.0705,0.31,33.66,16.35,11.21
1.44,0.0621,0.25,32.85,19.63,13.59
1.28,0.0624,0.35,31.27,22.34,14.93
1.43,0.0669,0.31,32.11,17.44,11.89
1.37,0.0612,0.3,31.98,26.86,18.25
1.26,0.0639,0.3,31.47,17.1,11.64
1.17,0.0674,0.14,31.56,19.4,13.41
1.33,0.0659,0.19,33.8,15.69,10.89
1.15,0.0644,0.41,32.81,17.78,12.17
1.35,0.0684,0.37,32.45,24.24,16.78
1.63,0.0733,0.29,32.04,15.38,10.86
1.46,0.0704,0.15,31.61,23.43,16.44
1.54,0.0667,0.17,30.04,20.55,14.49
1.92,0.0625,0.9,26.79,27.96,19.99
1.71,0.0584,1.38,28.13,19.02,13.55
1.77,0.0597,1.01,30.33,35.46,25.19
1.72,0.057,0.24,29.84,24.51,17.44
1.67,0.0568,0.35,29.07,20.9,14.83
1.75,0.0598,0.3,28.2,27.73,19.64
1.76,0.0592,0.26,27.58,27.46,19.34
1.66,0.056,0.27,28.17,28.66,20.04
1.69,0.0615,0.54,28.53,29.98,20.81
1.52,0.0626,0.35,30.1,19.65,13.63
1.3,0.0648,0.38,31.19,22.87,15.78
1.51,0.0642,0.41,31.08,32.69,22.75
1.28,0.0615,0.37,30.75,19.65,13.66
1.27,0.0589,0.27,29.88,25.95,18.13
1.35,0.0562,0.36,28.92,13.29,9.36
1.21,0.0603,0.19,27.73,17.99,12.63
1.52,0.0662,0.18,27.95,20.88,14.73
1.73,0.0779,0.18,28.21,22.79,16.19
1.79,0.0813,0.2,28.02,24.86,17.75
1.55,0.0787,0.24,27.69,26.84,19.15
1.53,0.0757,0.36,27.52,26.98,19.18
1.41,0.0702,0.46,28.0,27.42,19.36
1.44,0.0683,0.19,27.99,14.04,9.91
1.57,0.0662,0.18,27.7,21.01,14.81
1.82,0.0624,0.24,28.91,17.47,12.35
1.52,0.0618,0.3,29.1,26.33,18.56
1.63,0.0657,0.18,29.69,17.15,12.17
1.6,0.0728,0.12,30.48,25.18,17.77
1.66,0.0735,0.12,30.22,28.26,19.95
1.51,0.0744,0.11,28.87,19.81,14.05
1.46,0.0774,0.12,27.88,19.18,13.66
1.43,0.0759,0.12,28.12,26.49,18.75
1.45,0.0765,0.15,26.53,21.04,14.97
1.55,0.0777,0.14,27.03,24.32,17.42
1.84,0.0839,0.19,27.21,36.23,26.26
1.54,0.0758,0.16,27.02,16.39,11.77
1.58,0.0708,0.12,27.43,18.41,13.36
1.76,0.0739,0.14,28.11,16.8,12.31
1.64,0.0819,0.14,29.15,24.31,17.98
1.46,0.0768,0.13,28.99,33.64,25.13
1.43,0.0744,0.16,28.09,40.96,30.25
1.21,0.0779,0.13,27.81,28.39,20.49
1.3,0.0806,0.13,27.68,28.17,20.19
1.33,0.0735,0.15,27.52,30.92,21.93
1.62,0.063,0.2,27.64,23.73,16.75
1.2,0.059,1.17,27.78,22.69,15.92
1.57,0.0618,0.2,27.27,35.99,25.13
1.75,0.0651,0.2,26.76,22.23,15.69
1.57,0.0637,0.19,27.05,15.65,10.99
1.4,0.061,0.28,27.53,18.08,12.58
1.26,0.0652,0.36,27.63,21.07,14.79
1.4,0.0597,0.22,27.53,22.98,16.09
1.49,0.0593,0.31,27.11,15.98,11.21
1.4,0.0576,0.25,27.07,18.5,12.98
1.29,0.0561,0.78,26.94,14.64,10.33
1.24,0.0552,1.24,26.87,13.09,9.23
1.08,0.0552,0.72,26.81,18.65,13.09
1.32,0.0568,0.22,26.83,16.51,11.62
